,dialogue_id,dialogue_turn,text,annotation,multi_labels,Elicit-Pref,No-Need,Non-strategic,Other-Need,Promote-coordination,Self-Need,Showing-Empathy,Small-talk,UV-Part,Vouch-Fair
0,215,0,Hello!  It will be so nice to go camping and spend some time in nature during this stressful time.,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
1,215,1,Yes it is. The scenery is beautiful and it is taking my mind off things. So glad to be here. ,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
2,215,2,I am working hard around the camp and getting hungry!,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
3,215,3,You came here to work? I’ve been taking it easy. ,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
4,215,4,"LOL, I mean setting up the tent and clearing the area for a campfire. I'll take a break now.",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
5,215,5,Sounds good.  I suggest you make a fire and relax. ,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
6,215,6,Just need a little more wood.  Then it will be great to cook my dinner on.,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
7,215,7,I got some spare wood. I’m a little short on food though. I didn’t pack enough. ,"Self-Need,Promote-coordination","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,0,0,0,1,1,0,0,0,0
8,215,8,"Great, we can split the food, how are you on water?","Promote-coordination,Elicit-Pref","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0,0,0,1,0,0,0,0,0
9,215,9,That would be great. I need to have frequent small meals throughout the day so the extra food would help. I have plenty of water. ,"Self-Need,No-Need","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,0,0,0,1,0,0,0,0
10,215,10,"alright, so I'll keep the water, and firewood, and give you 2 extra food.  Does that sound like a good deal?","Promote-coordination,Elicit-Pref","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0,0,0,1,0,0,0,0,0
11,215,11,I actually need one firewood and one food package. I can give you one water. ,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
12,215,12,That sounds great.  Thank you,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
13,216,0,Hello!,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
14,216,1,Hey there. How are you doing?,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0
15,216,2,Great! What do you look for most when camping?,"Small-talk,Elicit-Pref","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1,0,0,0,0,0,0,1,0,0
16,216,3,Definitely water. The weather is so damn hot.,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
17,216,4,Water is important!! To me firewood is more important as I have anemia and I'm ALWAYS cold lol,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0
18,216,5,Alright. I have a  feeling we will have a deal then. How about you give me two water for a firewood?,Promote-coordination,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,0,0,1,0,0,0,0,0
19,216,6,that sounds like a plan,Non-strategic,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0
20,216,7,how many firewood you need? Maybe we could also exchange one food for one more firewood?,Elicit-Pref,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,0,0,0,0,0,0,0
21,216,8,"I would appreciate that, I was thinking of asking that! I would not require much in the way of extra food or water but the fire wood would be important!",No-Need,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0,0
