,dialogue_id,dialogue_turn,text,annotation,multi_labels,Elicit-Pref,No-Need,Non-strategic,Other-Need,Promote-coordination,Self-Need,Showing-Empathy,Small-talk,UV-Part,Vouch-Fair,tr_translate
0,215,0,Hello!  It will be so nice to go camping and spend some time in nature during this stressful time.,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0,"Merhaba, bu sıkıştırıcı zamanlarda kamp gitmek ve doğada biraz zaman geçirmek çok güzel olacak."
1,215,1,Yes it is. The scenery is beautiful and it is taking my mind off things. So glad to be here. ,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0,Burada olmaktan çok sevindim.
2,215,2,I am working hard around the camp and getting hungry!,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0,Kampın etrafında çok çalışıyorum ve aç oldum!
3,215,3,You came here to work? I’ve been taking it easy. ,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0,Buraya çalışmak için geldin?
4,215,4,"LOL, I mean setting up the tent and clearing the area for a campfire. I'll take a break now.",Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0,"Lol, çadırı kurmak ve bölgeyi kamp ateş için temizlemek istiyorum, şimdi bir mola alacağım."
5,215,5,Sounds good.  I suggest you make a fire and relax. ,Small-talk,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,0,0,0,0,0,1,0,0,Ateş yapmayı tavsiye ederim ve rahatlayın.
6,215,6,Just need a little more wood.  Then it will be great to cook my dinner on.,Self-Need,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,1,0,0,0,0,"Biraz daha ağaç ihtiyacım var, o zaman yemek yemek yemek iyi olacak."
7,215,7,I got some spare wood. I’m a little short on food though. I didn’t pack enough. ,"Self-Need,Promote-coordination","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,0,0,0,1,1,0,0,0,0,Yemekte biraz kısayım.
8,215,8,"Great, we can split the food, how are you on water?","Promote-coordination,Elicit-Pref","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0,0,0,1,0,0,0,0,0,"Güzel, yiyecekleri ayırabiliriz, suya nasılsın?"
9,215,9,That would be great. I need to have frequent small meals throughout the day so the extra food would help. I have plenty of water. ,"Self-Need,No-Need","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,0,0,0,1,0,0,0,0,Gün boyunca küçük yemekler yapmak zorundayım bu yüzden daha fazla yemek yardımcı olacak.
